CVE-1999-0011,Entry,"Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.","CERT:CA-98.05.bind_problems   |   SGI:19980603-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   |   HP:HPSBUX9808-083   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   |   SUN:00180   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180   |   XF:bind-axfr-dos",,,
CVE-1999-0012,Entry,"Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.","CERT:CA-98.04.Win32.WebServers   |   XF:nt-web8.3",,,
CVE-1999-0013,Entry,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.","CERT:CA-98.03.ssh-agent   |   NAI:NAI-24   |   XF:ssh-agent",,,
CVE-1999-0014,Entry,"Unauthorized privileged access or denial of service via dtappgather program in CDE.","HP:HPSBUX9801-075   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-075   |   SUN:00185   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/185   |   CERT:CA-98.02.CDE",,,
CVE-1999-0015,Candidate,"Teardrop IP denial of service.","CERT:CA-97.28.Teardrop_Land   |   OVAL:oval:org.mitre.oval:def:5579   |   URL:http://oval.mitre.org/repository/data/getDef?id=oval:org.mitre.oval:def:5579   |   XF:teardrop",Modified (20090302),"   ACCEPT(1) Wall  |     MODIFY(1) Frech  |     REVIEWING(1) Christey"," Frech> XF: teardrop-mod  |   Christey> Not sure how many separate ""instances"" of Teardrop there are.  |     See: CVE-1999-0015, CVE-1999-0104, CVE-1999-0257, CVE-1999-0258  |   Christey> See the SCO advisory at:  |     http://www.securityfocus.com/templates/advisory.html?id=1411  |     which may further clarify the issue.  |   Christey> MSKB:Q154174  |     MSKB:Q154174 (CVE-1999-0015) and MSKB:Q179129 (CVE-1999-0104)  |     indicate that CVE-1999-0015 was fixed in NT SP3, but  |     CVE-1999-0104 was not.  Thus CD:SF-LOC suggests that the  |     problems keep separate candidates because one problem appears  |     in a different version than the other.  |   Christey> BID:124  |     http://www.securityfocus.com/bid/124  |     Consider MSKB:Q154174  |     http://support.microsoft.com/support/kb/articles/q154/1/74.asp  |     Consider BUGTRAQ:19971113 Linux IP fragment overlap bug  |     http://www.securityfocus.com/archive/1/8014"
CVE-1999-0016,Entry,"Land IP denial of service.","CERT:CA-97.28.Teardrop_Land   |   FREEBSD:FreeBSD-SA-98:01   |   HP:HPSBUX9801-076   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-076   |   CISCO:http://www.cisco.com/warp/public/770/land-pub.shtml   |   XF:cisco-land   |   XF:land   |   XF:95-verv-tcp   |   XF:land-patch   |   XF:ver-tcpip-sys",,,
CVE-1999-0017,Entry,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.","CERT:CA-97.27.FTP_bounce   |   XF:ftp-bounce   |   XF:ftp-privileged-port",,,
CVE-1999-0018,Entry,"Buffer overflow in statd allows root privileges.","CERT:CA-97.26.statd   |   AUSCERT:AA-97.29   |   XF:statd   |   BID:127   |   URL:http://www.securityfocus.com/bid/127",,,
CVE-1999-0019,Entry,"Delete or create a file via rpc.statd, due to invalid information.","CERT:CA-96.09.rpc.statd   |   XF:rpc-stat   |   SUN:00135   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/135",,,
CVE-1999-0020,Candidate,"** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-0032.  Reason: This candidate is a duplicate of CVE-1999-0032.  Notes: All CVE users should reference CVE-1999-0032 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.","",Modified (20050204),"   MODIFY(1) Frech  |     NOOP(4) Levy, Northcutt, Shostack, Wall  |     REJECT(2) Baker, Christey"," Frech> XF:lpr-bo  |   Christey> DUPE CVE-1999-0032, which includes XF:lpr-bo"
